Group,Task,Run,Item,Desc,Passed
C,2,3,2-24,전량 백오더 (< 30%),True
C,2,3,2-25,안전재고 체크,True
C,2,3,2-26,안전재고 트리거 기록,True
C,2,3,2-27,보관유형 불일치 경고,True
C,2,3,2-28,피킹 응답에 backorder 포함,True
C,2,4,2-1,FIFO 적용,True
C,2,4,2-2,FEFO 우선 적용,True
C,2,4,2-3,FEFO 동률 시 FIFO,True
C,2,4,2-4,분할 피킹,True
C,2,4,2-5,만료 재고 제외,True
C,2,4,2-6,부분출고,True
C,2,4,2-7,백오더 자동 생성,True
C,2,4,2-8,picked_qty 기록,True
C,2,4,2-9,부분출고 상태 partial,True
C,2,4,2-10,전량 백오더,True
C,2,4,2-11,inventory.quantity 차감,True
C,2,4,2-12,location.current_qty 차감,True
C,2,4,2-13,피킹 상세 반환,False
C,2,4,2-14,출고 완료 shipped,True
C,2,4,2-15,is_expired 재고 제외,True
C,2,4,2-16,실사 동결 로케이션 제외,True
C,2,4,2-17,잔여율 < 30% 최우선 출고,True
C,2,4,2-18,잔여율 < 10% 출고 불가,False
C,2,4,2-19,HAZMAT zone 전용 피킹,True
C,2,4,2-20,max_pick_qty 제한,True
C,2,4,2-21,HAZMAT+FRESH 분리 출고,True
C,2,4,2-22,부분출고 70% 기준,True
C,2,4,2-23,긴급발주 트리거 (30~70%),True
C,2,4,2-24,전량 백오더 (< 30%),True
C,2,4,2-25,안전재고 체크,True
C,2,4,2-26,안전재고 트리거 기록,True
C,2,4,2-27,보관유형 불일치 경고,True
C,2,4,2-28,피킹 응답에 backorder 포함,True
C,2,5,2-1,FIFO 적용,True
C,2,5,2-2,FEFO 우선 적용,True
C,2,5,2-3,FEFO 동률 시 FIFO,True
C,2,5,2-4,분할 피킹,True
C,2,5,2-5,만료 재고 제외,True
C,2,5,2-6,부분출고,True
C,2,5,2-7,백오더 자동 생성,True
C,2,5,2-8,picked_qty 기록,True
C,2,5,2-9,부분출고 상태 partial,True
C,2,5,2-10,전량 백오더,True
C,2,5,2-11,inventory.quantity 차감,True
C,2,5,2-12,location.current_qty 차감,True
C,2,5,2-13,피킹 상세 반환,False
C,2,5,2-14,출고 완료 shipped,True
C,2,5,2-15,is_expired 재고 제외,True
C,2,5,2-16,실사 동결 로케이션 제외,True
C,2,5,2-17,잔여율 < 30% 최우선 출고,True
